Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Year,Case_Closure_Days
81,2020-05-01,2020-04-01,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-03-04,2020,59.0
82,2020-06-01,2020-04-01,04-01-2020 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,2020,
83,2020-06-01,2020-04-01,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21,2020,75.0
84,2020-04-01,2020-04-01,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20,2020,16.0
85,2020-05-01,2020-04-01,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,2020,
86,2020-06-01,2020-04-01,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,2020-03-11,2020,65.0
87,2020-07-01,2020-04-01,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18,2020,11.0
88,2020-07-01,2020-04-01,04-01-2020 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,2020,
89,2020-06-01,2020-04-01,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,2020,
90,2020-06-01,2020-04-01,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,2020,
91,2020-05-01,2020-04-01,05-01-2020 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,2020,
92,2020-04-01,2020-04-01,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60,F,,Other Crime,7,No,,2020,
93,2020-05-01,2020-04-01,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,,Other Crime,13,Yes,2020-04-01,2020,87.0
94,2020-06-01,2020-04-01,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,2020,
95,2020-06-01,2020-04-01,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,2020,
96,2020-06-01,2020-04-01,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,2020,
97,2020-06-01,2020-05-01,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-02-12,2020,37.0
98,2020-06-01,2020-05-01,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,2020,
99,2020-06-01,2020-05-01,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23,2020,17.0
100,2020-06-01,2020-05-01,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22,2020,16.0
101,2020-06-01,2020-05-01,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14,2020,8.0
102,2020-05-01,2020-05-01,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,2020,
103,2020-07-01,2020-05-01,05-01-2020 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,2020,
104,2020-07-01,2020-05-01,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19,2020,43.0
105,2020-06-01,2020-05-01,05-01-2020 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,2020,
106,2020-06-01,2020-05-01,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,,Violent Crime,12,Yes,2020-02-22,2020,47.0
107,2020-05-01,2020-05-01,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,2020,
108,2020-07-01,2020-05-01,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-02-09,2020,33.0
109,2020-07-01,2020-05-01,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,2020,
110,2020-05-01,2020-05-01,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,2020,
111,2020-07-01,2020-05-01,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16,2020,40.0
112,2020-08-01,2020-05-01,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37,F,,Other Crime,6,No,,2020,
113,2020-07-01,2020-05-01,06-01-2020 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-11-08,2020,671.0
114,2020-06-01,2020-05-01,06-01-2020 06:42,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,,2020,
115,2020-07-01,2020-05-01,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-02-03,2020,27.0
116,2020-05-01,2020-05-01,06-01-2020 06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,2020,
117,2020-07-01,2020-05-01,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,2020-03-13,2020,66.0
118,2020-06-01,2020-05-01,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,2020-03-30,2020,84.0
119,2020-07-01,2020-05-01,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,2020-02-27,2020,51.0
120,2020-07-01,2020-05-01,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70,M,,Traffic Fatality,3,Yes,2020-01-27,2020,20.0
121,2020-07-01,2020-06-01,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22,2020,15.0
122,2020-08-01,2020-06-01,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-04-06,2020,89.0
123,2020-06-01,2020-06-01,07-01-2020 00:00,Bhopal,432,VANDALISM,60,F,,Other Crime,4,No,,2020,
124,2020-08-01,2020-06-01,06-01-2020 06:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,2020,
125,2020-09-01,2020-06-01,06-01-2020 19:19,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,,2020,
126,2020-09-01,2020-06-01,06-01-2020 05:15,Pune,127,ASSAULT,62,F,,Violent Crime,10,No,,2020,
127,2020-07-01,2020-06-01,07-01-2020 00:44,Surat,117,FIREARM OFFENSE,42,F,,Fire Accident,8,No,,2020,
128,2020-07-01,2020-06-01,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,2020-04-01,2020,85.0
129,2020-09-01,2020-06-01,06-01-2020 12:39,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,,2020,
130,2020-08-01,2020-06-01,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,2020-05-20,2020,133.0
131,2020-08-01,2020-06-01,06-01-2020 19:26,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,2020,
132,2020-07-01,2020-06-01,07-01-2020 06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,2020,
133,2020-06-01,2020-06-01,06-01-2020 19:17,Bangalore,309,HOMICIDE,18,M,,Other Crime,2,No,,2020,
134,2020-06-01,2020-06-01,07-01-2020 00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,2020,
135,2020-06-01,2020-06-01,07-01-2020 07:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,2020,
136,2020-09-01,2020-06-01,07-01-2020 02:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,2020,
137,2020-07-01,2020-06-01,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,2020-01-23,2020,16.0
138,2020-08-01,2020-06-01,06-01-2020 20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,,2020,
139,2020-08-01,2020-06-01,07-01-2020 07:11,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,2020,
140,2020-08-01,2020-06-01,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,2020-02-06,2020,29.0
141,2020-08-01,2020-06-01,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,2020,
142,2020-07-01,2020-06-01,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,2020-03-27,2020,80.0
143,2020-07-01,2020-06-01,07-01-2020 12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,,Other Crime,2,No,,2020,
144,2020-07-01,2020-06-01,07-01-2020 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,2020-02-04,2020,28.0
145,2020-08-01,2020-07-01,07-01-2020 03:38,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,,2020,
146,2020-08-01,2020-07-01,07-01-2020 16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,2020,
147,2020-07-01,2020-07-01,07-01-2020 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,2020-01-26,2020,19.0
148,2020-07-01,2020-07-01,07-01-2020 22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,2020,
149,2020-07-01,2020-07-01,08-01-2020 01:09,Agra,558,IDENTITY THEFT,41,F,,Violent Crime,5,Yes,2020-02-27,2020,51.0
150,2020-07-01,2020-07-01,07-01-2020 11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,2020-04-03,2020,87.0
151,2020-08-01,2020-07-01,07-01-2020 13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,2020-03-27,2020,79.0
152,2020-07-01,2020-07-01,07-01-2020 16:17,Bangalore,311,ILLEGAL POSSESSION,67,M,,Other Crime,16,No,,2020,
153,2020-08-01,2020-07-01,07-01-2020 17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,,2020,
154,2020-09-01,2020-07-01,07-01-2020 19:49,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,,2020,
155,2020-10-01,2020-07-01,07-01-2020 19:37,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,,2020,
156,2020-10-01,2020-07-01,07-01-2020 12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,2020-04-02,2020,83.0
157,2020-07-01,2020-07-01,07-01-2020 13:48,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,,2020,
158,2020-08-01,2020-07-01,08-01-2020 03:32,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,,2020,
159,2020-09-01,2020-07-01,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,2020-02-08,2020,30.0
160,2020-07-01,2020-07-01,08-01-2020 14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,2020-03-22,2020,75.0
161,2020-09-01,2020-07-01,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,2020-02-19,2020,41.0
162,2020-07-01,2020-07-01,07-01-2020 17:22,Surat,420,CYBERCRIME,17,F,,Other Crime,12,No,,2020,
163,2020-09-01,2020-07-01,08-01-2020 09:50,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,,2020,
164,2020-08-01,2020-07-01,08-01-2020 02:04,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,,2020,
165,2020-10-01,2020-07-01,08-01-2020 06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,2020-12-23,2020,348.0
166,2020-10-01,2020-07-01,08-01-2020 00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,2020-03-10,2020,60.0
167,2020-08-01,2020-07-01,08-01-2020 05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,2020-01-27,2020,19.0
168,2020-08-01,2020-07-01,08-01-2020 02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,2020-03-04,2020,56.0
169,2020-08-01,2020-08-01,08-01-2020 00:14,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,,2020,
170,2020-10-01,2020-08-01,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,2020-01-17,2020,7.0
171,2020-09-01,2020-08-01,08-01-2020 18:43,Agra,352,COUNTERFEITING,24,M,,Other Crime,14,Yes,2020-03-11,2020,62.0
172,2020-08-01,2020-08-01,09-01-2020 01:57,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,No,,2020,
173,2020-11-01,2020-08-01,08-01-2020 13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,2021-10-29,2020,657.0
174,2020-09-01,2020-08-01,09-01-2020 01:34,Indore,438,DRUG OFFENSE,40,F,,Other Crime,7,No,,2020,
175,2020-09-01,2020-08-01,08-01-2020 10:27,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,2020-06-15,2020,158.0
176,2020-09-01,2020-08-01,08-01-2020 22:06,Lucknow,292,BURGLARY,66,F,,Other Crime,14,Yes,2020-06-28,2020,171.0
177,2020-08-01,2020-08-01,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,2020-03-21,2020,73.0
178,2020-09-01,2020-08-01,08-01-2020 16:59,Mumbai,331,ILLEGAL POSSESSION,54,F,,Other Crime,11,No,,2020,
179,2020-10-01,2020-08-01,09-01-2020 07:31,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,,2020,
180,2020-10-01,2020-08-01,09-01-2020 02:31,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,2020-01-23,2020,13.0
181,2020-10-01,2020-08-01,09-01-2020 07:34,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,,2020,
182,2020-10-01,2020-08-01,09-01-2020 12:16,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,,2020,
183,2020-10-01,2020-08-01,08-01-2020 17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,2021-05-09,2020,485.0
184,2020-10-01,2020-08-01,08-01-2020 23:28,Hyderabad,422,SEXUAL ASSAULT,27,F,,Violent Crime,4,No,,2020,
185,2020-08-01,2020-08-01,08-01-2020 17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,2020-03-03,2020,55.0
186,2020-11-01,2020-08-01,09-01-2020 08:32,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,2020-03-12,2020,61.0
187,2020-09-01,2020-08-01,09-01-2020 10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,2020-02-13,2020,35.0
